Area Code,Area Name,All people,People aged - 0 - 4,People aged - 5 - 7,People aged - 8 - 9,People aged - 10 - 14,People aged - 15,People aged - 16 - 17,People aged - 18 - 19,People aged - 20 - 24,People aged - 25 - 29,People aged - 30 - 44,People aged - 45 - 59,People aged - 60 - 64,People aged - 65 - 74,People aged - 75 - 84,People aged - 85 - 89,People aged - 90 and over
00AA,City of London,7185,250,112,95,186,27,78,101,529,940,1977,1622,306,514,322,100,26
00AB,Barking and Dagenham,163944,12542,7479,4984,11107,2242,4441,4176,10573,11959,38575,25590,6160,12105,9155,1923,933
00AC,Barnet,314564,20215,12442,8098,19288,3713,7733,6642,21782,27177,74980,54231,12769,22809,15626,4596,2463
00AD,Bexley,218307,13277,8638,6020,15094,2877,5443,4777,11580,13683,51120,40825,10464,18280,12167,2823,1239
00AE,Brent,263464,16306,9704,6353,16497,3309,7007,6354,22219,26633,66968,40686,11191,17654,9174,2291,1118
00AF,Bromley,295532,18681,10991,7320,18453,3426,6707,5558,14654,18938,70587,56508,13899,25517,17842,4262,2189
00AG,Camden,198020,11820,6255,3975,9211,1605,3986,5401,18822,25998,53147,29723,6860,11228,7304,1760,925
00AH,Croydon,330587,22587,13580,9451,22624,4206,8736,7548,19413,24410,83090,58599,13742,22539,14664,3557,1841
00AJ,Ealing,300948,19232,11216,7485,18071,3742,7433,6694,22768,30686,77897,48860,12186,18256,12197,2880,1345
00AK,Enfield,273559,18118,10973,7644,17665,3393,7150,6364,17976,20467,67302,46714,12088,19645,12739,3488,1833
00AL,Greenwich,214403,15538,8446,5836,14076,2742,5488,5305,15390,18422,53160,33820,8406,13804,10429,2433,1108
00AM,Hackney,202824,16752,8466,5700,14082,2431,5282,4890,15790,20781,55703,27376,6639,10404,6312,1426,790
00AN,Hammersmith and Fulham,165242,10195,5080,3212,7377,1362,3042,2785,14938,24453,45978,23355,6123,9118,6119,1436,669
00AP,Haringey,216507,14733,8212,5467,13635,2558,5223,5192,18313,23263,59764,31155,7817,11973,6697,1646,859
00AQ,Harrow,206814,12019,7611,5285,13886,2890,5779,4826,13012,15727,48381,38036,9433,15320,10176,2957,1476
00AR,Havering,224248,12429,8588,5965,14655,2813,5626,5038,11735,13173,49414,43977,11162,21198,14258,2911,1306
00AS,Hillingdon,243006,16175,9749,6607,15994,2977,5897,6277,16276,17620,58905,42188,10570,17912,11640,2899,1320
00AT,Hounslow,212341,14247,8031,5439,13346,2669,5582,5161,16037,19963,54092,34960,8446,13165,8300,1966,937
00AU,Islington,175797,11121,5987,3838,9629,1666,3674,3875,15150,21410,50122,25193,6144,10093,6061,1241,593
00AW,Kensington and Chelsea,158919,9953,4782,2861,6093,1105,2328,2964,11662,17388,44506,28836,7026,10159,6750,1649,857
00AX,Kingston upon Thames,147273,9215,5108,3461,8473,1618,3269,3893,11754,12818,36125,26344,5511,9344,7359,1986,995
00AY,Lambeth,266169,18063,9486,6176,14590,2739,5507,5529,22828,36351,77640,34168,8476,13477,8420,1850,869
00AZ,Lewisham,248922,17772,9732,6772,15312,3001,5934,5431,18739,23730,70309,36020,8809,14163,9655,2369,1174
